Gene_ID	Count
Pcer_024144-RA	       1
Pcer_024149-RA	       1
Pcer_024151-RA	       1
Pcer_097269-RA	       1
Pcer_024198-RA	       1
Pcer_097286-RA	       3
Pcer_024248-RA	       1
Pcer_024250-RA	       3
Pcer_024251-RA	       1
Pcer_097298-RA	       7
Pcer_097300-RA	       2
Pcer_097301-RA	       1
Pcer_024312-RA	       1
Pcer_024316-RA	       2
Pcer_024319-RA	       1
Pcer_097312-RA	       1
Pcer_097321-RA	       3
Pcer_097337-RA	       1
Pcer_097342-RA	       1
Pcer_097350-RA	       1
Pcer_024401-RA	       1
Pcer_097351-RA	       4
Pcer_024406-RA	       1
Pcer_024412-RA	       3
Pcer_024429-RA	       1
Pcer_024432-RA	       1
Pcer_024433-RA	       2
Pcer_097357-RA	       1
Pcer_024439-RA	       5
Pcer_097360-RA	       1
Pcer_097366-RA	       1
Pcer_097380-RA	       8
Pcer_097387-RA	       1
Pcer_024493-RA	       5
Pcer_024495-RA	       1
Pcer_097395-RA	       1
Pcer_097399-RA	       1
Pcer_097411-RA	       1
Pcer_024570-RA	       1
Pcer_097413-RA	       4
Pcer_097425-RA	       2
Pcer_024632-RA	       1
Pcer_024662-RA	       1
Pcer_097444-RA	       1
Pcer_024679-RA	       2
Pcer_024683-RA	       1
Pcer_024684-RA	       2
Pcer_097456-RA	       3
Pcer_024703-RA	       1
Pcer_097473-RA	       1
Pcer_024766-RA	       1
Pcer_024768-RA	       8
Pcer_024770-RA	       1
Pcer_097479-RA	       1
Pcer_097484-RA	       1
Pcer_024782-RA	       1
Pcer_024795-RA	       1
Pcer_097496-RA	       1
Pcer_097497-RA	       1
Pcer_097498-RA	       2
Pcer_024808-RA	       1
Pcer_024820-RA	       1
Pcer_024823-RA	       2
Pcer_024826-RA	       1
Pcer_097510-RA	       1
Pcer_097530-RA	       1
Pcer_097546-RA	       2
Pcer_097552-RA	       1
Pcer_024910-RA	       1
Pcer_024931-RA	       2
Pcer_024934-RA	       1
Pcer_024954-RA	       2
